athlete,competition,sport_rank_points,score
sebrle,decastar,100_meters,11.04
sebrle,decastar,long_jump,7.58
sebrle,decastar,shot_put,14.83
sebrle,decastar,high_jump,2.07
sebrle,decastar,400_meters,49.81
sebrle,decastar,110_meters_hurdle,14.69
sebrle,decastar,discus,43.75
sebrle,decastar,pole_vault,5.02
sebrle,decastar,javeline,63.19
sebrle,decastar,1500_meters,291.7
sebrle,decastar,rank,1
sebrle,decastar,points,8217
clay,decastar,100_meters,10.76
clay,decastar,long_jump,7.4
clay,decastar,shot_put,14.26
clay,decastar,high_jump,1.86
clay,decastar,400_meters,49.37
clay,decastar,110_meters_hurdle,14.05
clay,decastar,discus,50.72
clay,decastar,pole_vault,4.92
clay,decastar,javeline,60.15
clay,decastar,1500_meters,301.5
clay,decastar,rank,2
clay,decastar,points,8122
karpov,decastar,100_meters,11.02
karpov,decastar,long_jump,7.3
karpov,decastar,shot_put,14.77
karpov,decastar,high_jump,2.04
karpov,decastar,400_meters,48.37
karpov,decastar,110_meters_hurdle,14.09
karpov,decastar,discus,48.95
karpov,decastar,pole_vault,4.92
karpov,decastar,javeline,50.31
karpov,decastar,1500_meters,300.2
karpov,decastar,rank,3
karpov,decastar,points,8099
bernard,decastar,100_meters,11.02
bernard,decastar,long_jump,7.23
bernard,decastar,shot_put,14.25
bernard,decastar,high_jump,1.92
bernard,decastar,400_meters,48.93
bernard,decastar,110_meters_hurdle,14.99
bernard,decastar,discus,40.87
bernard,decastar,pole_vault,5.32
bernard,decastar,javeline,62.77
bernard,decastar,1500_meters,280.1
bernard,decastar,rank,4
bernard,decastar,points,8067
yurkov,decastar,100_meters,11.34
yurkov,decastar,long_jump,7.09
yurkov,decastar,shot_put,15.19
yurkov,decastar,high_jump,2.1
yurkov,decastar,400_meters,50.42
yurkov,decastar,110_meters_hurdle,15.31
yurkov,decastar,discus,46.26
yurkov,decastar,pole_vault,4.72
yurkov,decastar,javeline,63.44
yurkov,decastar,1500_meters,276.4
yurkov,decastar,rank,5
yurkov,decastar,points,8036
warners,decastar,100_meters,11.11
warners,decastar,long_jump,7.6
warners,decastar,shot_put,14.31
warners,decastar,high_jump,1.98
warners,decastar,400_meters,48.68
warners,decastar,110_meters_hurdle,14.23
warners,decastar,discus,41.1
warners,decastar,pole_vault,4.92
warners,decastar,javeline,51.77
warners,decastar,1500_meters,278.1
warners,decastar,rank,6
warners,decastar,points,8030
zsivoczky,decastar,100_meters,11.13
zsivoczky,decastar,long_jump,7.3
zsivoczky,decastar,shot_put,13.48
zsivoczky,decastar,high_jump,2.01
zsivoczky,decastar,400_meters,48.62
zsivoczky,decastar,110_meters_hurdle,14.17
zsivoczky,decastar,discus,45.67
zsivoczky,decastar,pole_vault,4.42
zsivoczky,decastar,javeline,55.37
zsivoczky,decastar,1500_meters,268
zsivoczky,decastar,rank,7
zsivoczky,decastar,points,8004
mcmullen,decastar,100_meters,10.83
mcmullen,decastar,long_jump,7.31
mcmullen,decastar,shot_put,13.76
mcmullen,decastar,high_jump,2.13
mcmullen,decastar,400_meters,49.91
mcmullen,decastar,110_meters_hurdle,14.38
mcmullen,decastar,discus,44.41
mcmullen,decastar,pole_vault,4.42
mcmullen,decastar,javeline,56.37
mcmullen,decastar,1500_meters,285.1
mcmullen,decastar,rank,8
mcmullen,decastar,points,7995
martineau,decastar,100_meters,11.64
martineau,decastar,long_jump,6.81
martineau,decastar,shot_put,14.57
martineau,decastar,high_jump,1.95
martineau,decastar,400_meters,50.14
martineau,decastar,110_meters_hurdle,14.93
martineau,decastar,discus,47.6
martineau,decastar,pole_vault,4.92
martineau,decastar,javeline,52.33
martineau,decastar,1500_meters,262.1
martineau,decastar,rank,9
martineau,decastar,points,7802
hernu,decastar,100_meters,11.37
hernu,decastar,long_jump,7.56
hernu,decastar,shot_put,14.41
hernu,decastar,high_jump,1.86
hernu,decastar,400_meters,51.1
hernu,decastar,110_meters_hurdle,15.06
hernu,decastar,discus,44.99
hernu,decastar,pole_vault,4.82
hernu,decastar,javeline,57.19
hernu,decastar,1500_meters,285.1
hernu,decastar,rank,10
hernu,decastar,points,7733
barras,decastar,100_meters,11.33
barras,decastar,long_jump,6.97
barras,decastar,shot_put,14.09
barras,decastar,high_jump,1.95
barras,decastar,400_meters,49.48
barras,decastar,110_meters_hurdle,14.48
barras,decastar,discus,42.1
barras,decastar,pole_vault,4.72
barras,decastar,javeline,55.4
barras,decastar,1500_meters,282
barras,decastar,rank,11
barras,decastar,points,7708
nool,decastar,100_meters,11.33
nool,decastar,long_jump,7.27
nool,decastar,shot_put,12.68
nool,decastar,high_jump,1.98
nool,decastar,400_meters,49.2
nool,decastar,110_meters_hurdle,15.29
nool,decastar,discus,37.92
nool,decastar,pole_vault,4.62
nool,decastar,javeline,57.44
nool,decastar,1500_meters,266.6
nool,decastar,rank,12
nool,decastar,points,7651
bourguignon,decastar,100_meters,11.36
bourguignon,decastar,long_jump,6.8
bourguignon,decastar,shot_put,13.46
bourguignon,decastar,high_jump,1.86
bourguignon,decastar,400_meters,51.16
bourguignon,decastar,110_meters_hurdle,15.67
bourguignon,decastar,discus,40.49
bourguignon,decastar,pole_vault,5.02
bourguignon,decastar,javeline,54.68
bourguignon,decastar,1500_meters,291.7
bourguignon,decastar,rank,13
bourguignon,decastar,points,7313
sebrle,olympic_games,100_meters,10.85
sebrle,olympic_games,long_jump,7.84
sebrle,olympic_games,shot_put,16.36
sebrle,olympic_games,high_jump,2.12
sebrle,olympic_games,400_meters,48.36
sebrle,olympic_games,110_meters_hurdle,14.05
sebrle,olympic_games,discus,48.72
sebrle,olympic_games,pole_vault,5
sebrle,olympic_games,javeline,70.52
sebrle,olympic_games,1500_meters,280.01
sebrle,olympic_games,rank,1
sebrle,olympic_games,points,8893
clay,olympic_games,100_meters,10.44
clay,olympic_games,long_jump,7.96
clay,olympic_games,shot_put,15.23
clay,olympic_games,high_jump,2.06
clay,olympic_games,400_meters,49.19
clay,olympic_games,110_meters_hurdle,14.13
clay,olympic_games,discus,50.11
clay,olympic_games,pole_vault,4.9
clay,olympic_games,javeline,69.71
clay,olympic_games,1500_meters,282
clay,olympic_games,rank,2
clay,olympic_games,points,8820
karpov,olympic_games,100_meters,10.5
karpov,olympic_games,long_jump,7.81
karpov,olympic_games,shot_put,15.93
karpov,olympic_games,high_jump,2.09
karpov,olympic_games,400_meters,46.81
karpov,olympic_games,110_meters_hurdle,13.97
karpov,olympic_games,discus,51.65
karpov,olympic_games,pole_vault,4.6
karpov,olympic_games,javeline,55.54
karpov,olympic_games,1500_meters,278.11
karpov,olympic_games,rank,3
karpov,olympic_games,points,8725
macey,olympic_games,100_meters,10.89
macey,olympic_games,long_jump,7.47
macey,olympic_games,shot_put,15.73
macey,olympic_games,high_jump,2.15
macey,olympic_games,400_meters,48.97
macey,olympic_games,110_meters_hurdle,14.56
macey,olympic_games,discus,48.34
macey,olympic_games,pole_vault,4.4
macey,olympic_games,javeline,58.46
macey,olympic_games,1500_meters,265.42
macey,olympic_games,rank,4
macey,olympic_games,points,8414
warners,olympic_games,100_meters,10.62
warners,olympic_games,long_jump,7.74
warners,olympic_games,shot_put,14.48
warners,olympic_games,high_jump,1.97
warners,olympic_games,400_meters,47.97
warners,olympic_games,110_meters_hurdle,14.01
warners,olympic_games,discus,43.73
warners,olympic_games,pole_vault,4.9
warners,olympic_games,javeline,55.39
warners,olympic_games,1500_meters,278.05
warners,olympic_games,rank,5
warners,olympic_games,points,8343
zsivoczky,olympic_games,100_meters,10.91
zsivoczky,olympic_games,long_jump,7.14
zsivoczky,olympic_games,shot_put,15.31
zsivoczky,olympic_games,high_jump,2.12
zsivoczky,olympic_games,400_meters,49.4
zsivoczky,olympic_games,110_meters_hurdle,14.95
zsivoczky,olympic_games,discus,45.62
zsivoczky,olympic_games,pole_vault,4.7
zsivoczky,olympic_games,javeline,63.45
zsivoczky,olympic_games,1500_meters,269.54
zsivoczky,olympic_games,rank,6
zsivoczky,olympic_games,points,8287
hernu,olympic_games,100_meters,10.97
hernu,olympic_games,long_jump,7.19
hernu,olympic_games,shot_put,14.65
hernu,olympic_games,high_jump,2.03
hernu,olympic_games,400_meters,48.73
hernu,olympic_games,110_meters_hurdle,14.25
hernu,olympic_games,discus,44.72
hernu,olympic_games,pole_vault,4.8
hernu,olympic_games,javeline,57.76
hernu,olympic_games,1500_meters,264.35
hernu,olympic_games,rank,7
hernu,olympic_games,points,8237
nool,olympic_games,100_meters,10.8
nool,olympic_games,long_jump,7.53
nool,olympic_games,shot_put,14.26
nool,olympic_games,high_jump,1.88
nool,olympic_games,400_meters,48.81
nool,olympic_games,110_meters_hurdle,14.8
nool,olympic_games,discus,42.05
nool,olympic_games,pole_vault,5.4
nool,olympic_games,javeline,61.33
nool,olympic_games,1500_meters,276.33
nool,olympic_games,rank,8
nool,olympic_games,points,8235
bernard,olympic_games,100_meters,10.69
bernard,olympic_games,long_jump,7.48
bernard,olympic_games,shot_put,14.8
bernard,olympic_games,high_jump,2.12
bernard,olympic_games,400_meters,49.13
bernard,olympic_games,110_meters_hurdle,14.17
bernard,olympic_games,discus,44.75
bernard,olympic_games,pole_vault,4.4
bernard,olympic_games,javeline,55.27
bernard,olympic_games,1500_meters,276.31
bernard,olympic_games,rank,9
bernard,olympic_games,points,8225
schwarzl,olympic_games,100_meters,10.98
schwarzl,olympic_games,long_jump,7.49
schwarzl,olympic_games,shot_put,14.01
schwarzl,olympic_games,high_jump,1.94
schwarzl,olympic_games,400_meters,49.76
schwarzl,olympic_games,110_meters_hurdle,14.25
schwarzl,olympic_games,discus,42.43
schwarzl,olympic_games,pole_vault,5.1
schwarzl,olympic_games,javeline,56.32
schwarzl,olympic_games,1500_meters,273.56
schwarzl,olympic_games,rank,10
schwarzl,olympic_games,points,8102
pogorelov,olympic_games,100_meters,10.95
pogorelov,olympic_games,long_jump,7.31
pogorelov,olympic_games,shot_put,15.1
pogorelov,olympic_games,high_jump,2.06
pogorelov,olympic_games,400_meters,50.79
pogorelov,olympic_games,110_meters_hurdle,14.21
pogorelov,olympic_games,discus,44.6
pogorelov,olympic_games,pole_vault,5
pogorelov,olympic_games,javeline,53.45
pogorelov,olympic_games,1500_meters,287.63
pogorelov,olympic_games,rank,11
pogorelov,olympic_games,points,8084
schoenbeck,olympic_games,100_meters,10.9
schoenbeck,olympic_games,long_jump,7.3
schoenbeck,olympic_games,shot_put,14.77
schoenbeck,olympic_games,high_jump,1.88
schoenbeck,olympic_games,400_meters,50.3
schoenbeck,olympic_games,110_meters_hurdle,14.34
schoenbeck,olympic_games,discus,44.41
schoenbeck,olympic_games,pole_vault,5
schoenbeck,olympic_games,javeline,60.89
schoenbeck,olympic_games,1500_meters,278.82
schoenbeck,olympic_games,rank,12
schoenbeck,olympic_games,points,8077
barras,olympic_games,100_meters,11.14
barras,olympic_games,long_jump,6.99
barras,olympic_games,shot_put,14.91
barras,olympic_games,high_jump,1.94
barras,olympic_games,400_meters,49.41
barras,olympic_games,110_meters_hurdle,14.37
barras,olympic_games,discus,44.83
barras,olympic_games,pole_vault,4.6
barras,olympic_games,javeline,64.55
barras,olympic_games,1500_meters,267.09
barras,olympic_games,rank,13
barras,olympic_games,points,8067
smith,olympic_games,100_meters,10.85
smith,olympic_games,long_jump,6.81
smith,olympic_games,shot_put,15.24
smith,olympic_games,high_jump,1.91
smith,olympic_games,400_meters,49.27
smith,olympic_games,110_meters_hurdle,14.01
smith,olympic_games,discus,49.02
smith,olympic_games,pole_vault,4.2
smith,olympic_games,javeline,61.52
smith,olympic_games,1500_meters,272.74
smith,olympic_games,rank,14
smith,olympic_games,points,8023
averyanov,olympic_games,100_meters,10.55
averyanov,olympic_games,long_jump,7.34
averyanov,olympic_games,shot_put,14.44
averyanov,olympic_games,high_jump,1.94
averyanov,olympic_games,400_meters,49.72
averyanov,olympic_games,110_meters_hurdle,14.39
averyanov,olympic_games,discus,39.88
averyanov,olympic_games,pole_vault,4.8
averyanov,olympic_games,javeline,54.51
averyanov,olympic_games,1500_meters,271.02
averyanov,olympic_games,rank,15
averyanov,olympic_games,points,8021
ojaniemi,olympic_games,100_meters,10.68
ojaniemi,olympic_games,long_jump,7.5
ojaniemi,olympic_games,shot_put,14.97
ojaniemi,olympic_games,high_jump,1.94
ojaniemi,olympic_games,400_meters,49.12
ojaniemi,olympic_games,110_meters_hurdle,15.01
ojaniemi,olympic_games,discus,40.35
ojaniemi,olympic_games,pole_vault,4.6
ojaniemi,olympic_games,javeline,59.26
ojaniemi,olympic_games,1500_meters,275.71
ojaniemi,olympic_games,rank,16
ojaniemi,olympic_games,points,8006
smirnov,olympic_games,100_meters,10.89
smirnov,olympic_games,long_jump,7.07
smirnov,olympic_games,shot_put,13.88
smirnov,olympic_games,high_jump,1.94
smirnov,olympic_games,400_meters,49.11
smirnov,olympic_games,110_meters_hurdle,14.77
smirnov,olympic_games,discus,42.47
smirnov,olympic_games,pole_vault,4.7
smirnov,olympic_games,javeline,60.88
smirnov,olympic_games,1500_meters,263.31
smirnov,olympic_games,rank,17
smirnov,olympic_games,points,7993
qi,olympic_games,100_meters,11.06
qi,olympic_games,long_jump,7.34
qi,olympic_games,shot_put,13.55
qi,olympic_games,high_jump,1.97
qi,olympic_games,400_meters,49.65
qi,olympic_games,110_meters_hurdle,14.78
qi,olympic_games,discus,45.13
qi,olympic_games,pole_vault,4.5
qi,olympic_games,javeline,60.79
qi,olympic_games,1500_meters,272.63
qi,olympic_games,rank,18
qi,olympic_games,points,7934
drews,olympic_games,100_meters,10.87
drews,olympic_games,long_jump,7.38
drews,olympic_games,shot_put,13.07
drews,olympic_games,high_jump,1.88
drews,olympic_games,400_meters,48.51
drews,olympic_games,110_meters_hurdle,14.01
drews,olympic_games,discus,40.11
drews,olympic_games,pole_vault,5
drews,olympic_games,javeline,51.53
drews,olympic_games,1500_meters,274.21
drews,olympic_games,rank,19
drews,olympic_games,points,7926
parkhomenko,olympic_games,100_meters,11.14
parkhomenko,olympic_games,long_jump,6.61
parkhomenko,olympic_games,shot_put,15.69
parkhomenko,olympic_games,high_jump,2.03
parkhomenko,olympic_games,400_meters,51.04
parkhomenko,olympic_games,110_meters_hurdle,14.88
parkhomenko,olympic_games,discus,41.9
parkhomenko,olympic_games,pole_vault,4.8
parkhomenko,olympic_games,javeline,65.82
parkhomenko,olympic_games,1500_meters,277.94
parkhomenko,olympic_games,rank,20
parkhomenko,olympic_games,points,7918
terek,olympic_games,100_meters,10.92
terek,olympic_games,long_jump,6.94
terek,olympic_games,shot_put,15.15
terek,olympic_games,high_jump,1.94
terek,olympic_games,400_meters,49.56
terek,olympic_games,110_meters_hurdle,15.12
terek,olympic_games,discus,45.62
terek,olympic_games,pole_vault,5.3
terek,olympic_games,javeline,50.62
terek,olympic_games,1500_meters,290.36
terek,olympic_games,rank,21
terek,olympic_games,points,7893
gomez,olympic_games,100_meters,11.08
gomez,olympic_games,long_jump,7.26
gomez,olympic_games,shot_put,14.57
gomez,olympic_games,high_jump,1.85
gomez,olympic_games,400_meters,48.61
gomez,olympic_games,110_meters_hurdle,14.41
gomez,olympic_games,discus,40.95
gomez,olympic_games,pole_vault,4.4
gomez,olympic_games,javeline,60.71
gomez,olympic_games,1500_meters,269.7
gomez,olympic_games,rank,22
gomez,olympic_games,points,7865
turi,olympic_games,100_meters,11.08
turi,olympic_games,long_jump,6.91
turi,olympic_games,shot_put,13.62
turi,olympic_games,high_jump,2.03
turi,olympic_games,400_meters,51.67
turi,olympic_games,110_meters_hurdle,14.26
turi,olympic_games,discus,39.83
turi,olympic_games,pole_vault,4.8
turi,olympic_games,javeline,59.34
turi,olympic_games,1500_meters,290.01
turi,olympic_games,rank,23
turi,olympic_games,points,7708
lorenzo,olympic_games,100_meters,11.1
lorenzo,olympic_games,long_jump,7.03
lorenzo,olympic_games,shot_put,13.22
lorenzo,olympic_games,high_jump,1.85
lorenzo,olympic_games,400_meters,49.34
lorenzo,olympic_games,110_meters_hurdle,15.38
lorenzo,olympic_games,discus,40.22
lorenzo,olympic_games,pole_vault,4.5
lorenzo,olympic_games,javeline,58.36
lorenzo,olympic_games,1500_meters,263.08
lorenzo,olympic_games,rank,24
lorenzo,olympic_games,points,7592
karlivans,olympic_games,100_meters,11.33
karlivans,olympic_games,long_jump,7.26
karlivans,olympic_games,shot_put,13.3
karlivans,olympic_games,high_jump,1.97
karlivans,olympic_games,400_meters,50.54
karlivans,olympic_games,110_meters_hurdle,14.98
karlivans,olympic_games,discus,43.34
karlivans,olympic_games,pole_vault,4.5
karlivans,olympic_games,javeline,52.92
karlivans,olympic_games,1500_meters,278.67
karlivans,olympic_games,rank,25
karlivans,olympic_games,points,7583
korkizoglou,olympic_games,100_meters,10.86
korkizoglou,olympic_games,long_jump,7.07
korkizoglou,olympic_games,shot_put,14.81
korkizoglou,olympic_games,high_jump,1.94
korkizoglou,olympic_games,400_meters,51.16
korkizoglou,olympic_games,110_meters_hurdle,14.96
korkizoglou,olympic_games,discus,46.07
korkizoglou,olympic_games,pole_vault,4.7
korkizoglou,olympic_games,javeline,53.05
korkizoglou,olympic_games,1500_meters,317
korkizoglou,olympic_games,rank,26
korkizoglou,olympic_games,points,7573
uldal,olympic_games,100_meters,11.23
uldal,olympic_games,long_jump,6.99
uldal,olympic_games,shot_put,13.53
uldal,olympic_games,high_jump,1.85
uldal,olympic_games,400_meters,50.95
uldal,olympic_games,110_meters_hurdle,15.09
uldal,olympic_games,discus,43.01
uldal,olympic_games,pole_vault,4.5
uldal,olympic_games,javeline,60
uldal,olympic_games,1500_meters,281.7
uldal,olympic_games,rank,27
uldal,olympic_games,points,7495
casarsa,olympic_games,100_meters,11.36
casarsa,olympic_games,long_jump,6.68
casarsa,olympic_games,shot_put,14.92
casarsa,olympic_games,high_jump,1.94
casarsa,olympic_games,400_meters,53.2
casarsa,olympic_games,110_meters_hurdle,15.39
casarsa,olympic_games,discus,48.66
casarsa,olympic_games,pole_vault,4.4
casarsa,olympic_games,javeline,58.62
casarsa,olympic_games,1500_meters,296.12
casarsa,olympic_games,rank,28
casarsa,olympic_games,points,7404
